AUTOMATIC,MANUAL
with a hundred percent renewable energy and this ,with a hundred percent renewable energy and this 
is technology we're constantly getting better  ,is technology we're constantly getting better  
contrasts after the cow it's about as ,contrasts after the cow it's about as 
good as it's going to get and the cows  ,good as it's going to get and the cows  
really don't like it when you stack them ,really don't like it when you stack them 
up in high density vertical agriculture,up in high density vertical agriculture
chicken remains how are we going to distribute ,and so the question remains how are we going to distribute 
this material at global scale to meet the moment  ,this material at global scale to meet the moment  
and I have bad news for you here historically ,and I have bad news for you here historically 
it takes decades for a new material to reach  ,it takes decades for a new material to reach  
global scale adoption take spandex that ,global scale adoption take spandex that 
stretchy fiber it's in your blue jeans  ,stretchy fiber it's in your blue jeans  
your yoga pants makes your butt look amazing ,your yoga pants makes your butt look amazing 
that material was invented in the 1950s and it  ,that material was invented in the 1950s and it  
wasn't until the athleisure mega Trend 50 years ,wasn't until the athleisure mega Trend 50 years 
later that it was truly everywhere on this planet  ,later that it was truly everywhere on this planet  
and thank you climate change we humans don't have ,and thank you climate change we humans don't have 
50 years to wait we need to solve this problem we  ,50 years to wait we need to solve this problem we  
need new materials and we need them now and ,need new materials and we need them now and 
this is where fashion can be transformational  ,this is where fashion can be transformational  
so I went out and constructed what you call ,so I went out and constructed what we call 
the Milo Consortium these are fashion brands  ,the Mylo Consortium these are fashion brands  
you know Stella McCartney Lululemon caring and ,you know Stella McCartney Lululemon Kering and 
Adidas and now normally fashion brands are like  ,Adidas and now normally fashion brands are like  
renowned for their competitive nature and their ,renowned for their competitive nature and their 
desire for exclusivity but I was able to come  ,desire for exclusivity but I was able to come  
into these brands that no one group can solve ,into these brands that no one group can solve 
this problem alone and to meet this moment it  ,this problem alone and to meet this moment it  
was time to act in collaboration instead of ,was time to act in collaboration instead of 
competition we did just that with the idea  ,competition we did just that with the idea  
that we're going to solve this really big ,that we're gonna solve this really big 
problem really fast and here's a taste of  ,problem really fast and here's a taste of  
how they're supporting Milo Lululemon wove ,how they're supporting Mylo Lululemon wove 
Milo into Yoga and Wellness accessories  ,Mylo into Yoga and Wellness accessories  
celebrity environmentalist Paris Jackson modeled ,celebrity environmentalist Paris Jackson modeled 
Milo in this fashion editorial Adidas redesigned  ,Mylo in this fashion editorial Adidas redesigned  
the Stan Smith it's their most iconic Style ,the Stan Smith it's their most iconic Style 
with Milo and Stella McCartney designed the  ,with Mylo and Stella McCartney designed the  
frame Milo handbag and debuted on the Paris Runway ,frame Mylo handbag and debuted on the Paris Runway 
and that little black handbag that you see right  ,and that little black handbag that you see right  
there that's now part of Stella's commercial ,there that's now part of Stella's commercial 
collection and what that means is that this  ,collection and what that means is that this  
is not some far-off idea that's a dream that may ,is not some far-off idea that's a dream that may 
one day be real Milo's commercially viable today  ,one day be real Mylo's commercially viable today  
we sell it for 30 a square foot it's ,we sell it for 30 dollars a square foot it's 
about the price of premium calf leather  ,about the price of premium calf leather  
and this this is the Tipping Point this is the ,and this this is the Tipping Point this is the 
first tangible proof that the future of fashion  ,first tangible proof that the future of fashion  
can and will be made with sustainable materials ,can and will be made with sustainable materials 
and this is our roadmap we went looking to  ,and this is our roadmap we went looking to  
nature for a better alternative to leather and we ,nature for a better alternative to leather and we 
found that mycelium it was hiding in plain sight  ,found that mycelium it was hiding in plain sight  
and this story Milo's story is just one small ,and this story Mylo's story is just one small 
example in a much broader movement it's the  ,example in a much broader movement it's the  
one I know but in the last few years countless ,one I know but in the last few years countless 
scientists have joined us in this journey of  ,scientists have joined us in this journey of  
a sustainable materials Revolution and in the ,a sustainable materials Revolution and in the 
coming years I think we're going to see amazing  ,coming years I think we're gonna see amazing  
advances that replace all the harmful materials ,advances that replace all the harmful materials 
in your closet in your home and your car and my  ,in your closet in your home and your car and my  
hope is that by sharing this journey with Milo ,hope is that by sharing this journey with Mylo 
it can act as a blueprint that these others can  ,it can act as a blueprint that these others can  
follow to more quickly improve this world for ,follow to more quickly improve this world for 
all of us because in my heart I'm still that  ,all of us because in my heart I'm still that  
nerd from the beginning and I want to know what ,nerd from the beginning and I wanna know what 
else is hiding out there in nature I want to  ,else is hiding out there in nature I wanna
know what's the number one spot on the best of ,know what's the number one spot on the best of 
playlists from four billion years of evolution  ,playlists from four billion years of evolution  
and the incredible part of all this is that ,and the incredible part of all this is that 
fashion undoubtedly compounded our sustainability  ,fashion undoubtedly compounded our sustainability  
crisis but fashion has a golden opportunity to ,crisis but fashion has a golden opportunity to 
lead the charge to live with nature instead of  ,lead the charge to live with nature instead of  
against it and now and in the future Fashion's ,against it and now and in the future Fashion's 
not just about making yourself beautiful  ,not just about making yourself beautiful  
it's also about making this planet beautiful ,it's also about making this planet beautiful 
and livable for Generations thank you,and livable for Generations thank you
thank you,BLANK
we're like family this is a phrase that's ,we're like family this is a phrase that's 
become quite popular in our places of work  ,become quite popular in our places of work  
to try to make work feel a little less ,to try to make work feel a little less 
like this and a little bit more like this  ,like this and a little bit more like this  
it's a phrase that started in the last decade ,it's a phrase that started in the last decade 
or two to try to elicit feelings of warmth and  ,or two to try to elicit feelings of warmth and  
belonging and really that cool culture Vibe the ,belonging and really that cool culture Vibe the 
laid back break rooms with the beanbag chairs and  ,laid back break rooms with the beanbag chairs and  
the beer on tap and those tight-knit teams that ,the beer on tap and those tight-knit teams that 
got through everything together like a family  ,got through everything together like a family  
it's a phrase that started with positive intent ,it's a phrase that started with positive intent 
and has had positive outcome however what's gone  ,and has had positive outcome however what's gone  
far less recognized and discussed is how calling ,far less recognized and discussed is how calling 
work our family can actually be quite detrimental  ,work our family can actually be quite detrimental  
to our mental and emotional health without our ,to our mental and emotional health without our 
knowing it which is why I'm here today to offer  ,knowing it which is why I'm here today to offer  
the reminder that work is not your family and to ,the reminder that work is not your family and to 
explore how this cool culture catchphrase often  ,explore how this cool culture catchphrase often  
ends up breeding burnout instead my name is Gloria ,ends up breeding burnout instead my name is Gloria 
chanpacker I am a mental Wellness educator and an  ,Chan Packer I am a mental Wellness educator and an  
experienced corporate leader in 2018 I founded ,experienced corporate leader in 2018 I founded 
a company called recalibrate to try to deliver  ,a company called Recalibrate to try to deliver  
workplace mental Wellness services that were more ,workplace mental Wellness services that were more 
modern accessible and science-backed since that  ,modern accessible and science-backed since that  
time I and my team have gotten to work with almost ,time I and my team have gotten to work with almost 
20 000 employees all over the world now the reason  ,20 000 employees all over the world now the reason  
this topic exploring how calling work our family ,this topic exploring how calling work our family 
can be problematic and breed burnout the reason  ,can be problematic and breed burnout the reason  
it's important to me is because I've personally ,it's important to me is because I've personally 
lived it before we get into that though let's  ,lived it before we get into that though let's  
first Baseline by understanding why calling ,first Baseline by understanding why calling 
work our family at its core can be problematic  ,work our family at its core can be problematic  
doing so psychologically infers a really big ,doing so psychologically infers a really big 
blur and betrayal in our boundaries work and  ,blur and betrayal in our boundaries work and  
family are different entities with different goals ,family are different entities with different goals 
expectations and responsibilities and therefore  ,expectations and responsibilities and therefore  
should be separated and boundaried for example I'm ,should be separated and boundaried for example I'm 
not going to be in the shower one day and notice a  ,not gonna be in the shower one day and notice a  
really weird mole on my pregnant belly and roll ,really weird mole on my pregnant belly and roll 
into my boss's office like I would my mom and  ,into my boss's office like I would my mom and  
be like hey can you can you get in here and look ,be like hey can you can you get in here and look 
at this this looks kind of weird I'm freaked out  ,at this this looks kind of weird I'm freaked out  
a few of us are Googling or laughing but I'm ,a few of us are giggling or laughing but I'm 
sure a few of us too in our heads are like  ,sure a few of us too in our heads are like  
oh have I done something weird like that ,oh have I done something weird like that 
at work have I crossed a boundary before  ,at work have I crossed a boundary before  
boundaries are hard for a lot of us because ,boundaries are hard for a lot of us because 
many of us never learned boundaries it's  ,many of us never learned boundaries it's  
kind of a newer Buzzy phrase that not many of ,kind of a newer Buzzy phrase that not many of 
us really have learned or defined before so  ,us really have learned or defined before so  
let's start by defining what boundaries are and ,let's start by defining what boundaries are and 
why they're so important to our Mental Health  ,why they're so important to our Mental Health  
I like to think of boundaries as our ability to ,I like to think of boundaries as our ability to 
identify communicate and take action on our needs  ,identify communicate and take action on our needs  
being able to say I need to eat I need ,being able to say I need to eat I need 
to rest I need some space right now  ,to rest I need some space right now  
survivaly speaking boundaries are critical ,survivaly speaking boundaries are critical 
for us as humans to be able to say  ,for us as humans to be able to say  
I need something to be able to find safety and ,I need something to be able to find safety and 
resourcing however it can also be advantageous  ,resourcing however it can also be advantageous  
in certain situations to delay or de-prioritize ,in certain situations to delay or de-prioritize 
our needs to for example if I'm a human back in  ,our needs too for example if I'm a human back in  
the day running away from a tiger if I happen ,the day running away from a tiger if I happen 
to be hungry it'll of course be beneficial to  ,to be hungry it'll of course be beneficial to  
delay that need for Hunger until I'm safe again ,delay that need for Hunger until I'm safe again 
however if after the Tiger has left and I'm safe  ,however if after the Tiger has left and I'm safe  
I keep staying stuck and being scared of the tiger ,I keep staying stuck and being scared of the tiger 
and delaying my hunger and not eating that becomes  ,and delaying my hunger and not eating that becomes  
unhealthy too this shift of delaying our needs ,unhealthy too this shift of delaying our needs 
into the unhealthy without knowing it is where  ,into the unhealthy without knowing it is where  
a lot of us find ourselves unknowingly stuck today ,a lot of us find ourselves unknowingly stuck today 
somewhere in our lives we learned and adapted that  ,somewhere in our lives we learned and adapted that  
repressing or sacrificing our needs for others ,repressing or sacrificing our needs for others 
was beneficial but that became so autopiloted in  ,was beneficial but that became so autopiloted in  
our subconscious that it goes past the point ,our subconscious that it goes past the point 
of diminishing returns and becomes unhealthy  ,of diminishing returns and becomes unhealthy  
it's where maybe we land into a workplace ,to where maybe we land into a workplace 
and we hear we're like family and our brain  ,and we hear we're like family and our brain  
just triggers into give it everything no matter ,just triggers into give it everything no matter 
what we sacrifice our boundaries our time our  ,what we sacrifice our boundaries our time our  
relationships and we start living life in ,relationships and we start living life in 
these big swings of overworking to burnout  ,these big swings of overworking to burnout  
and maybe we rationally know that it's not the ,and maybe we rationally know that it's not the 
healthiest pattern in our life but we feel stuck  ,healthiest pattern in our life but we feel stuck  
I get that I have lived through that and ,I get that I have lived through that and 
sometimes still feel challenged with it  ,sometimes still feel challenged with it  
you see before I worked in mental Wellness You ,you see before I worked in mental Wellness You 
could argue that I worked in the opposite of  ,could argue that I worked in the opposite of  
mental Wellness I started my career in management ,mental Wellness I started my career in management 
and Technology Consulting spending almost a decade  ,and Technology Consulting spending almost a decade  
giving it my all I did the 80 to 100 hour billing ,giving it my all I did the 80 to 100 hour billing 
weeks the 100 plus flights a year for years on and  ,weeks the 100 plus flights a year for years on and  
the early promotion Chase and didn't scale back ,the early promotion Chase and didn't scale back 
on other parts of my life either still volunteered  ,on other parts of my life either still volunteered  
went to my soul cycle classes did brunch and ,went to my soul cycle classes did brunch and 
late nights with my friends until my completely  ,late nights with my friends until my completely  
overscoped life turned into burnout cycle after ,overscoped life turned into burnout cycle after 
burnout cycle in 2017 my brain and body hit a wall  ,burnout cycle in 2017 my brain and body hit a wall  
I started struggling with debilitating ,I started struggling with debilitating 
chronic migraines that for me  ,chronic migraines that for me  
meant that after months of no change ,meant that after months of no change 
and no medication or treatment working  ,and no medication or treatment working  
I knew I had to take at least a leave from work ,I knew I had to take at least a leave from work 
and that was devastating for me because work had  ,and that was devastating for me because work had  
really become my everything there is a memory ,really become my everything there is a memory 
that haunts me from that time um it was the  ,that haunts me from that time um it was the  
night before I was about to go on leave and I was ,night before I was about to go on leave and I was 
just grabbing dinner with a friend and my husband  ,just grabbing dinner with a friend and my husband  
and I said to my friend work is my entire worth ,and I said to my friend work is my entire worth 
and my identity I don't know what I'm gonna do  ,and my identity I don't know what I'm gonna do  
without it and my husband's body language and ,without it and my husband's body language and 
face dropped in a way that I had never seen it  ,face dropped in a way that I had never seen it  
and after my friend left I remember him saying ,and after my friend left I remember him saying 
to me I can't believe that you think that work  ,to me I can't believe that you think that work  
is your only worth when I see so much more ,is your only worth when I see so much more 
and I can't believe you can't see that either  ,and I can't believe you can't see that either  
it's a poignant memory for me because I remember ,it's a poignant memory for me because I remember 
it feeling so true and now I know it's not  ,it feeling so true and now I know it's not  
but it was a really rough period it's such an ,but it was a really rough period it's such an 
important one in my life because it gave me the  ,important one in my life because it gave me the  
opportunity to do my own mental health work and ,opportunity to do my own mental health work and 
understand where these burnout behaviors had come  ,understand where these burnout behaviors had come  
from for me so that now I could grow into being ,from for me so that now I could grow into being 
able to discern when those behaviors are healthy  ,able to discern when those behaviors are healthy  
or unhealthy for me where those behaviors started ,or unhealthy for me where those behaviors started 
and were adapted is that I grew up learning that  ,and were adapted is that I grew up learning that  
I needed to be perfect and to people please and ,I needed to be perfect and to people please and 
be the best at everything so that I could get  ,be the best at everything so that I could get  
myself out of a situation that I felt like I ,myself out of a situation that I felt like I 
otherwise wouldn't be able to make it through  ,otherwise wouldn't be able to make it through  
for me that perfectionism and people pleasing ,for me that perfectionism and people pleasing 
was so critical to that point in my life  ,was so critical to that point in my life  
but then when I just put it on autopilot it went ,but then when I just put it on autopilot it went 
way past the point of diminishing returns and  ,way past the point of diminishing returns and  
often became unhealthy for me that's my story ,often became unhealthy for me that's my story 
let's spend some time getting to know yours  ,let's spend some time getting to know yours  
I'm going to invite you to do a little ,I'm gonna invite you to do a little 
bit of a reflection activity with me  ,bit of a reflection activity with me  
as you're comfortable if you can all ,as you're comfortable if you can all 
just close your eyes Wherever You Are  ,just close your eyes Wherever You Are  
and with your eyes closed I'm going to ask you ,and with your eyes closed I'm gonna ask you 
to start to bring to mind a part of you that  ,to start to bring to mind a part of you that  
tends to overwork to be a perfectionist or ,tends to overwork to be a perfectionist or 
a people pleaser struggles to set boundaries  ,a people pleaser struggles to set boundaries  
I'm going to ask what it would be like if ,I'm gonna ask what it would be like if 
you tone that part of you back a little  ,you tone that part of you back a little  
so just let that go a little for the piece of ,so just let that go a little for the piece of 
you that pops up with some tension or resistance  ,you that pops up with some tension or resistance  
let's lean into that and ask why not ,let's lean into that and ask why not 
what would happen What would go wrong  ,what would happen What would go wrong  
would things go wrong the other shoe would ,would things go wrong the other shoe would 
finally drop and it'd be all your fault would  ,finally drop and it'd be all your fault would  
you lose success would you not have anything to ,you lose success would you not have anything to 
talk about in conversation to feel worthy anymore,talk about in conversation to feel worthy anymore
then let's practice some curiosity around where ,then let's practice some curiosity around where 
you might have first adapted or learned this  ,you might have first adapted or learned this  
when it might have helped or protected you ,when it might have helped or protected you 
in life did you learn early on you had to  ,in life did you learn early on you had to  
be perfect to avoid shame or discipline or when ,be perfect to avoid shame or discipline or when 
you were young did you learn you had to be overly  ,you were young did you learn you had to be overly  
self-reliant you had to take care of everything ,self-reliant you had to take care of everything 
and everyone because your caretaker couldn't  ,and everyone because your caretaker couldn't  
or maybe later in life in college did you learn ,or maybe later in life in college did you learn 
it was worth sacrificing whatever you needed to  ,it was worth sacrificing whatever you needed to  
get that win or accolade maybe to make up ,get that win or accolade maybe to make up 
for not feeling accepted earlier in life,for not feeling accepted earlier in life
see what it would be to speak ,see what it would be to speak 
to that part of yourself and say  ,to that part of yourself and say  
thank you so much for making this adaptation,thank you so much for making this adaptation
you helped me through such an important time  ,you helped me through such an important time  
but right now I don't need you to ,but right now I don't need you to 
be on the clock all the time anymore,be on the clock all the time anymore
I have a beautiful life that I've ,I have a beautiful life that I've 
built with safety and stability  ,built with safety and stability  
and I have people in my life that ,and I have people in my life that 
love me for who I am and not what I do,love me for who I am and not what I do
you can take a breather so I can too,you can take a breather so I can too
as you're ready just gently opening your eyes ,as you're ready just gently opening your eyes 
back up and coming back into the room with me  ,back up and coming back into the room with me  
welcome back,welcome back
so part of that reflection activity is an example ,so part of that reflection activity is an example 
of what we would technically call identifying our  ,of what we would technically call identifying our  
cognitive schemas our cognitive schemas are ,cognitive schemas our cognitive schemas are 
essentially how our brain forms all of our  ,essentially how our brain forms all of our  
subconscious behaviors patterns thoughts and ,subconscious behaviors patterns thoughts and 
emotions which our brain largely learns based  ,emotions which our brain largely learns based  
on past experiences we've had a majority of our ,on past experiences we've had a majority of our 
subconscious schemas our behaviors are formed and  ,subconscious schemas our behaviors are formed and  
adapted early on in life especially in childhood ,adapted early on in life especially in childhood 
because our brains are kind of blank slates we  ,because our brains are kind of blank slates we  
haven't experienced much of life yet so out of ,haven't experienced much of life yet so out of 
safety and efficiency our brain takes each big  ,safety and efficiency our brain takes each big  
experience and wants to say okay this is what I ,experience and wants to say okay this is what I 
did these were the factors around this is what  ,did these were the factors around this is what  
happened and therefore is how I should predict ,happened and therefore is how I should predict 
I should feel think and act from here on out and  ,I should feel think and act from here on out and  
it puts that on autopilot into our subconscious ,it puts that on autopilot into our subconscious 
this can be very beneficial when it does keep  ,this can be very beneficial when it does keep  
us safe and efficient however it can also become ,us safe and efficient however it can also become 
very outdated and unhealthy for us too which is  ,very outdated and unhealthy for us too which is  
why it's so important to do this work now doing ,why it's so important to do this work now doing 
such work is not about saying because a lot of  ,such work is not about saying because a lot of  
our subconscious behaviors were formed in the ,our subconscious behaviors were formed in the 
past that they're all invalid or wrong what it  ,past that they're all invalid or wrong what it  
is about doing is making sure we each do our own ,is about doing is making sure we each do our own 
due diligence to understand where the blueprint of  ,due diligence to understand where the blueprint of  
our behaviors came from and ensure they're still ,our behaviors came from and ensure they're still 
relevant and productive to our current lives we  ,relevant and productive to our current lives we  
update everything else important in our lives from ,update everything else important in our lives from 
our homes to our technology to our education why  ,our homes to our technology to our education why  
aren't we doing the same with our behaviors that ,aren't we doing the same with our behaviors that 
affect our everyday now I'm sure some of y'all  ,affect our everyday now I'm sure some of y'all  
might be asking okay I thought we were talking ,might be asking okay I thought we were talking 
about workplace burnout why aren't we talking  ,about workplace burnout why aren't we talking  
more about our workplaces and our employers which ,more about our workplaces and our employers which 
is where I'll offer a little bit of a plot twist  ,is where I'll offer a little bit of a plot twist  
yes when it comes to burnout our workplaces ,yes when it comes to burnout our workplaces 
and employers do own a big part of the equation  ,and employers do own a big part of the equation  
however what I find to be somewhat of an ,however what I find to be somewhat of an 
overlooked part of the equation today is what  ,overlooked part of the equation today is what  
piece of the problem we individually own ourselves ,piece of the problem we individually own ourselves 
to if I inherently have a tendency or a pattern  ,to if I inherently have a tendency or a pattern  
to overwork or not be able to set boundaries no ,to overwork or not be able to set boundaries no 
matter what workplace or organization I change  ,matter what workplace or organization I change  
if I never take accountability to drive my own ,if I never take accountability to drive my own 
internal change then no matter what external  ,internal change then no matter what external  
change I make I will likely keep suffering ,change I make I will likely keep suffering 
from the same patterns over and over again  ,from the same patterns over and over again  
now all that being said and all that being ,now all that being said and all that being 
something I strongly believe in I am also  ,something I strongly believe in I am also  
a realist and I know that not all of us will ,a realist and I know that not all of us will 
