AUTOMATIC,MANUAL
more flexible in the way that they cooperate ,more flexible in the way that they cooperate 
but they can do so only in very small numbers  ,but they can do so only in very small numbers  
because Corporation Among Wolves or amang ,because Corporation Among Wolves or amang 
shimpanzees depends on intimate and personal  ,shimpanzees depends on intimate and personal  
knowledge acquaintance one of the other if I'm ,knowledge acquaintance one of the other if I'm 
a chimpanzee and you're a chimpanzee and I want  ,a chimpanzee and you're a chimpanzee and I want  
to cooperate with you I need to know who you ,to cooperate with you I need to know who you 
are are you a good chimpanzee are you an evil  ,are are you a good chimpanzee are you an evil  
chimpanzee are you reliable are you a cheat if ,chimpanzee are you reliable are you a cheat if 
I don't know you how can I cooperate with you  ,I don't know you how can I cooperate with you  
humans are the only ones that can combine the two ,humans are the only ones that can combine the two 
abilities together cooperate very flexibly much  ,abilities together cooperate very flexibly much  
more than chimps but in very large numbers ,more than chimps but in very large numbers 
especially with large numbers of strangers  ,especially with large numbers of strangers  
One Versus One we may not be superior to ,One Versus One we may not be superior to 
chimpanzees but if you place a thousand  ,chimpanzees but if you place a thousand  
humans and a thousand chimps together on a Long ,humans and a thousand chimps together on a lone 
Island and they have to struggle then the humans  ,Island and they have to struggle then the humans  
will definitely win for the simple reason that ,will definitely win for the simple reason that 
a thousand chimpanzees cannot cooperate at all  ,a thousand chimpanzees cannot cooperate at all  
and if you now take 100 000 chimpanzees and cream ,and if you now take 100 000 chimpanzees and cram 
these 100 000 chimpanzees into Yankee Stadium or  ,these 100 000 chimpanzees into Yankee Stadium or  
Wall Street you will get chaos complete chaos ,Wall Street you will get chaos complete chaos 
but if you take a hundred thousand humans and  ,but if you take a hundred thousand humans and  
cram them together into Wall Street or into ,cram them together into Wall Street or into 
Yankee Stadium you get amazingly sophisticated  ,Yankee Stadium you get amazingly sophisticated  
networks of cooperation that are the real ,networks of cooperation that are the real 
basis for human Dominion on planet Earth  ,basis for human Dominion on planet Earth  
take even this talk that I'm now giving in front ,take even this talk that I'm now giving in front 
of you I don't know most of you there are about  ,of you I don't know most of you there are about  
200 people now in the auditorium I know maybe ,200 people now in the auditorium I know maybe 
two or three of them really well all the others  ,two or three of them really well all the others  
are basically strangers to me I don't really know ,are basically strangers to me I don't really know 
the people who organized this event yes I've met  ,the people who organized this event yes I've met  
them once or twice for rehearsal and so forth ,them once or twice for rehearsal and so forth 
but I can't say I really know them intimately  ,but I can't say I really know them intimately  
I certainly don't know the people who invented ,I certainly don't know the people who invented 
this microphone and this computer and this camera  ,this microphone and this computer and this camera  
which we are using I don't know the persons behind ,which we are using I don't know the persons behind 
the cameras which are not taking footage of what  ,the cameras which are now taking footage of what  
I say and I don't know the people who might be ,I say and I don't know the people who might be 
watching this talk over the internet somewhere  ,watching this talk over the internet somewhere  
maybe in New Guinea or New Delhi or buenos IRS ,maybe in New Guinea or New Delhi or Buenos Aires
or New York yet all of us strangers cooperate  ,or New York yet all of us strangers cooperate  
together in a very flexible and sophisticated ,together in a very flexible and sophisticated 
way to create this Global exchange of knowledge  ,way to create this Global exchange of knowledge  
this is something that chimps don't do you ,this is something that chimps don't do you 
will never catch a chimpanzee standing in  ,will never catch a chimpanzee standing in  
front of an audience of 200 other ships and ,front of an audience of 200 other chimps and 
giving a talk about bananas or about humans  ,giving a talk about bananas or about humans  
or something only humans do such things it should ,or something only humans do such things it should 
also be said however the teams not only don't give  ,also be said however that chimps not only don't give  
talks to strangers they don't also don't have ,talks to strangers they don't also don't have 
prisons they don't have concentration camps  ,prisons they don't have concentration camps  
they don't have slaughterhouses they don't have ,they don't have slaughterhouses they don't have 
honest factories Corporation is not always nice  ,arms factories Corporation is not always nice  
often when we think about cooperation we think ,often when we think about cooperation we think 
about Sesame Streets and teaching children to  ,about Sesame Streets and teaching children to  
cooperate together but all the terrible things ,cooperate together but all the terrible things 
that humans have been doing still outdoing in  ,that humans have been doing still are doing in  
the world they too are the outcome of this ability ,the world they too are the outcome of this ability 
to cooperate flexibly in very very large numbers  ,to cooperate flexibly in very very large numbers  
now suppose I've managed to convince you ,now suppose I've managed to convince you 
that the secret of success of our specie is  ,that the secret of success of our specie is  
this ability to cooperate flexibly in large ,this ability to cooperate flexibly in large 
numbers the next question that immediately  ,numbers the next question that immediately  
arises in the mind of an inquisitive person ,arises in the mind of an inquisitive person 
is how exactly humans do it what give us this  ,is how exactly humans do it what give us this  
ability to do something no other animal ,ability to do something no other animal 
can do and the answer is our imagination  ,can do and the answer is our imagination  
humans cooperate flexibly in large numbers because ,humans cooperate flexibly in large numbers because 
humans can create imagined realities together  ,humans can create imagined realities together  
all other animals use their communication ,all other animals use their communication 
system in order to describe reality  ,system in order to describe reality  
a chimpanzee can say look there is a lion run ,a chimpanzee can say look there is a lion run 
away oh look there was a banana let's take it  ,away or look there is a banana let's take it  
humans can use their language not only to describe ,humans can use their language not only to describe 
reality but also to create new realities to create  ,reality but also to create new realities to create  
fiction a human can say look there's a lion or ,fiction a human can say look there's a lion or 
looks of the banana but a human can also say look  ,look there's a banana but a human can also say look  
there is a God above the clouds and if you don't ,there is a God above the clouds and if you don't 
do what I tell you to do God will punish you and  ,do what I tell you to do God will punish you and  
if you believe this fictional story then you will ,if you believe this fictional story then you will 
do what you are told to do and this is the secret  ,do what you are told to do and this is the secret  
behind large-scale human cooperation as long as ,behind large-scale human cooperation as long as 
everybody believes in the same fictional stories  ,everybody believes in the same fictional stories  
everybody obeys the same laws and the same rules ,everybody obeys the same laws and the same rules 
and the same norms and this is something that only  ,and the same norms and this is something that only  
humans can do you can never convince a chimpanzee ,humans can do you can never convince a chimpanzee 
to do something for you by telling him look if you  ,to do something for you by telling him look if you  
do what I tell you to do you know what will happen ,do what I tell you to do you know what will happen 
after you die you'll go to chimpanzee heaven and  ,after you die you'll go to chimpanzee heaven and  
there you will receive lots and lots of bananas ,there you will receive lots and lots of bananas 
for your good deeds here on Earth so now do what  ,for your good deeds here on Earth so now do what  
I tell you to do no chimpanzee will ever believe ,I tell you to do no chimpanzee will ever believe 
such a story no chimpanzee will ever be willing to  ,such a story no chimpanzee will ever be willing to  
do anything for you in exchange for such promises ,do anything for you in exchange for such promises 
only humans can believe such fictions and this is  ,only humans can believe such fictions and this is  
why humans control the world whereas chimpanzees ,why humans control the world whereas chimpanzees 
are locked up in zoos and Research Laboratories  ,are locked up in zoos and Research Laboratories  
now you may find it possible to accept that in the ,now you may find it possible to accept that in the 
religious field cooperation is based on fiction  ,religious field cooperation is based on fiction  
that a lot of people a lot of strangers come ,that a lot of people a lot of strangers come 
together to build a cathedral or a synagogue or  ,together to build a cathedral or a synagogue or  
a mosque of God Crusade together because they all ,a mosque go on Crusade together because they all 
believe the same stories about God and Heaven and  ,believe the same stories about God and Heaven and  
Hell and so forth but what I want to emphasize is ,Hell and so forth but what I want to emphasize is 
that exactly the same thing happens in all other  ,that exactly the same thing happens in all other  
fields of human cooperation in the legal field in ,fields of human cooperation in the legal field in 
the political field in the economic field as well  ,the political field in the economic field as well  
take the legal field as an example today in the ,take the legal field as an example today in the 
world many maybe most legal systems are based  ,world many maybe most legal systems are based  
on this idea of this belief in human rights but ,on this idea or this belief in human rights but 
human rights are just like heaven and like God  ,human rights are just like heaven and like God  
it's just a fictional story that we've invented ,it's just a fictional story that we've invented 
and spread around it may be a very nice story it  ,and spread around it may be a very nice story it  
may be a very attractive story we want to believe ,may be a very attractive story we want to believe 
it but it's just a story it's not a reality it is  ,it but it's just a story it's not a reality it is  
not a biological reality just as jellyfish and ,not a biological reality just as jellyfish and 
woodpeckers and ostriches have no rights Homo  ,woodpeckers and ostriches have no rights Homo  
sapiens have no rights also take a human cut ,sapiens have no rights also take a human cut 
him open look inside you find their blood and  ,him open look inside you find their blood and  
you find the heart and lungs and kidneys but ,you find the heart and lungs and kidneys but 
you don't find there any rights the only place  ,you don't find there any rights the only place  
you find rights is in the fictional stories ,you find rights is in the fictional stories 
that humans have invented and spread around  ,that humans have invented and spread around  
and the same thing is also true in the political ,and the same thing is also true in the political 
field States and nations are also like human  ,field States and nations are also like human  
rights and like God and like heaven they too of ,rights and like God and like heaven they too of 
are just stories a mountain is a reality you can  ,are just stories a mountain is a reality you can  
see it you can touch it you can even smell it ,see it you can touch it you can even smell it 
but Israel or the United States they are just  ,but Israel or the United States they are just  
stories very powerful stories stories we might ,stories very powerful stories stories we might 
want to believe very much but still they are  ,want to believe very much but still they are  
just stories you can't really see the United ,just stories you can't really see the United 
States you cannot touch it you cannot smell it  ,States you cannot touch it you cannot smell it  
but the most successful story of all probably ,but the most successful story of all probably 
is the story of money which is one of the main  ,is the story of money which is one of the main  
Foundation of our economic system what is money ,Foundation of our economic system what is money 
you take this green piece of paper say the dollar  ,you take this green piece of paper say the dollar  
bill you can't eat it you can't drink it you ,bill you can't eat it you can't drink it you 
can't wear it it has no value but then come along  ,can't wear it it has no value but then come along  
these Master storytellers the great Bankers ,these Master storytellers the great Bankers 
the financial ministers the Prime Minister  ,the financial ministers the Prime Ministers  
the presidents and they tell a very convincing ,the presidents and they tell a very convincing 
Story look you see this green piece of paper it  ,Story look you see this green piece of paper it  
is actually worth 10 bananas and I believe it and ,is actually worth 10 bananas and I believe it and 
you believe it everybody believes it and as long  ,you believe it everybody believes it and as long  
as everybody believes it it works it really works ,as everybody believes it it works it really works 
it enables us to construct extremely sophisticated  ,it enables us to construct extremely sophisticated  
networks of economic cooperation which as I said ,networks of economic cooperation which as I said 
gave us and not the shims dominion over the world  ,gave us and not the chimps dominion over the world  
and money is really the most successful story of ,and money is really the most successful story of 
all because it's the only story everybody believes  ,all because it's the only story everybody believes  
not everybody believes in God not everybody ,not everybody believes in God not everybody 
believes in human rights not everybody believes  ,believes in human rights not everybody believes  
in the United States but everybody believes in ,in the United States but everybody believes in 
money and everybody believes in the dollar bill  ,money and everybody believes in the dollar bill  
even Osama Bin Laden he hated American politics he ,even Osama Bin Laden he hated American politics he 
hated American religion he hated American culture  ,hated American religion he hated American culture  
but it hit nothing against American dollars it ,but he had nothing against American dollars he
was quite fond of American dollars this is the  ,was quite fond of American dollars this is the  
most successful Story Ever Told to conclude then ,most successful Story Ever Told to conclude then 
humans control the world and not any other animal  ,humans control the world and not any other animal  
because humans live in a dual reality all other ,because humans live in a dual reality all other 
animals they live in an objective reality the  ,animals they live in an objective reality their  
reality consists of objective entities like rivers ,reality consists of objective entities like rivers 
and mountains and trees and lions and elephants  ,and mountains and trees and lions and elephants  
we humans we also live in an objective reality ,we humans we also live in an objective reality 
in our reality too there are rivers and trees  ,in our reality too there are rivers and trees  
and lions and elephants but on top of this ,and lions and elephants but on top of this 
objective reality we humans have constructed  ,objective reality we humans have constructed  
a second layer of fictional reality a reality ,a second layer of fictional reality a reality 
consisting of stories of fictional entities  ,consisting of stories of fictional entities  
that exist only in our imagination entities like ,that exist only in our imagination entities like 
States like money like human rights like gods  ,States like money like human rights like gods  
and the amazing thing is that as history ,and the amazing thing is that as history 
went along the fictional reality became more  ,went along the fictional reality became more  
and more powerful until today the most powerful ,and more powerful until today the most powerful 
forces in the world are these fictional entities  ,forces in the world are these fictional entities  
the very survival of rivers and trees and ,the very survival of rivers and trees and 
lions and chimpanzees today depends on the  ,lions and chimpanzees today depends on the  
wishes and decisions of fictional entities ,wishes and decisions of fictional entities 
like the United States or like Google or like  ,like the United States or like Google or like  
the World Bank entities that in fact exist only ,the World Bank entities that in fact exist only 
in our common imagination thank you [Applause],in our common imagination thank you [Applause]
foreign,BLANK
I grew up in Jerusalem not far ,I grew up in Jerusalem not far 
from here in a small family of four,from here in a small family of four
I'm a daddy's girl I love my father he's ,I'm a daddy's girl I love my father he's 
one of the kindest people I've ever met  ,one of the kindest people I've ever met  
my father worked hard his entire ,my father worked hard his entire 
life and he taught me the same thing  ,life and he taught me the same thing  
that most of us are being taught that good ,that most of us are being taught that good 
responsible people work hard and work a lot  ,responsible people work hard and work a lot  
I was living under the assumption that if I ,I was living under the assumption that if I 
want to be successful I should do something  ,wanna be successful I should do something  
in every given moment there was always something ,in every given moment there was always something 
to clean a problem to solve an email to answer or  ,to clean a problem to solve an email to answer or  
phone call to make I had a never-ending list of ,a phone call to make I had a never-ending list of 
tasks and gave myself no permission to rest until  ,task and gave myself no permission to rest until  
it was completed I believed like many others that ,it was completed I believed like many others that 
success is necessarily involved with a lot of work,success is necessarily involved with a lot of work
but it's working hard and a lot it's really ,but is working hard and a lot is really 
the effective way to create exceptional results,the effective way to create exceptional result
according to the 80 20 Pareto Principle the ,according to the 80 20 Pareto Principle the 
answer is no if you look at the distribution  ,answer is no if you look at the distribution  
of peas within pods ownership of capital and ,of peas within pods ownership of capital and 
incomes in businesses you will always see  ,incomes in businesses you will always see  
that about 80 percent of the effect comes ,that about 80 percent of the effect comes 
out of 20 of the causes and the 20 of the  ,out of 20 of the causes and the 20 of the  
effect comes out of 80 percent of the causes ,effect comes out of 80 percent of the causes 
what does it mean how does it concerns us  ,what does it mean how does it concerns us  
in every given moment every one of ,in every given moment every one of 
us is on one side of that Russia  ,us is on one side of that ratio  
either you're doing a lot and getting very ,either you're doing a lot and getting very 
little or you're doing little and getting a lot,little or you're doing little and getting a lot
ever since I've heard about the Pareto ,ever since I've heard about the Pareto 
Principle I've been looking for ways to  ,Principle I've been looking for ways to  
do less and achieve more in them about a ,do less and achieve more and then about a 
year ago I got the opportunity to practice  ,year ago I got the opportunity to practice  
under my very special circumstances ,under my very special circumstances 
which took most of my time and energy  ,which took most of my time and energy  
I became paralyzed I had no physical abilities ,I became paralyzed I had no physical abilities 
to invest only my mind my will my intention  ,to invest only my mind my will my intention  
I became ill with an autoimmune ,I became ill with an autoimmune 
disease called Guillain-Barre syndrome  ,disease called Guillain-Barre syndrome  
although it sounds like a name of a French lover ,although it sounds like a name of a French lover 
Gian Beret is a severe neurological disease which  ,Guillain-Barre is a severe neurological disease which  
caused sensory and motoric paralysis if it is not ,caused sensory and motoric paralysis if it is not 
diagnosed or treated on time it might cause death  ,diagnosed or treated on time it might cause death  
the body attacks the meal in the substance ,the body attacks the myelin the substance 
which covers all of the nerves in our body  ,which covers all of the nerves in our body  
and is responsible for the neurological ,and is responsible for the neurological 
conjunction including physical sensation  ,conjunction including physical sensation  
movement and function of the inner organs at ,movement and function of the inner organs at 
the time I got sick I Was preparing for half  ,the time I got sick I Was preparing for half  
a marathon for the second time in a row and ,a marathon for the second time in a row and 
was excited in the preparation for the big day  ,was excited in the preparation for the big day  
but as John Lennon said life is what happens ,but as John Lennon said life is what happens 
to you while you're busy making other plans  ,to you while you're busy making other plans  
it took a while for me and my doctors to ,it took a while for me and my doctors to 
understand this was no flu for two weeks I  ,understand this was no flu for two weeks I  
experienced the cold sensation in the tips of my ,experienced the cold sensation in the tips of my 
fingers I lost sensation in my arms and my legs I  ,fingers I lost sensation in my arms and my legs I  
became stiffer and experienced extreme exhaustion ,became stiffer and experienced extreme exhaustion 
a 10-minute walk took me an hour and a half  ,a 10-minute walk took me an hour and a half  
climbing up the stairs to my house 20 ,climbing up the stairs to my house 20 
minutes my Pace kept declarating and  ,minutes my Pace kept declarating and  
instead of running to the finish line ,instead of running to the finish line 
I found myself crawling to the hospital,I found myself crawling to the hospital
a week and a half before a Purim holiday I was at ,a week and a half before Purim holiday I was at 
the hospital before receiving treatment and was  ,the hospital before receiving treatment and was  
losing more and more of my basic capabilities ,losing more and more of my basic capabilities 
Purim is a Jewish version of Halloween it's a  ,Purim is a Jewish version of Halloween it's a  
commandment to be happy on touring holiday so ,commandment to be happy on Purim holiday so 
everyone will celebrate and wearing costumes  ,everyone are celebrate and wearing costumes  
when my daughter and my dear ex visit me at the ,when my daughter and my dear ex visit me at the 
hospital I realized I won't be able to help her  ,hospital I realized I won't be able to help her  
get dressed on Prairie morning I was told not ,get dressed on Purim morning I was told not 
to make any plans for the next month to come I  ,to make any plans for the next month to come I  
remember lying there at the hospital bed thinking ,remember lying there at the hospital bed thinking 
to myself I have no choice but to store all of my  ,to myself I have no choice but to store all of my  
belongings say goodbye to my former life and go ,belongings say goodbye to my former life and go 
leave at my mother's house for the next few months  ,live at my mother's house for the next few month 
I was being realistic and completely desperate ,I was being realistic and completely desperate 
it was my darkest time I'm not sure what was  ,it was my darkest time I'm not sure what was  
there beyond my desperation but all of a sudden ,there beyond my desperation but all of a sudden 
I thought it's just a statistic a distribution  ,I thought it's just a statistic a distribution  
it's a probability like all probabilities that ,it's a probability like all probabilities that 
has the average which is the majority of people  ,has the average which is the majority of people  
but also has the extreme the dots outside the ,but also has the extreme the dots outside the 
graph and I realized that even if the chances  ,graph and I realized that even if the chances  
were slight they still existed I knew the most of ,were slight they still existed I knew the most of 
the result depended on me who am I concerning the  ,the result depended on me who am I concerning the  
odds what am I going to do to heal myself I had ,odds what am I going to do to heal myself I had 
a purpose right there to be healthy as soon as  ,a purpose right there to be healthy as soon as  
possible and going back being my daughter's mother ,possible and going back being my daughter's mother 
again I've decided to put all of my intention in  ,again I've decided to put all of my intention in  
what I had rather in what I was losing back then ,what I had rather in what I was losing back then 
the difference between doing something with my  ,the difference between doing something with my  
intention or doing it without my intention was ,intention or doing it without my intention was 
the difference between trying and succeeding,the difference between trying and succeeding
I knew that every day without movement will add ,I knew that every day without movement will add 
significant time to my Rehabilitation so I didn't  ,significant time to my Rehabilitation so I didn't  
wait a second before I took responsibility in ,wait a second before I took responsibility in 
my health and long before the physical therapy  ,my health and long before the physical therapy  
began I combined between keep resting and moving ,began I combined between keep resting and moving 
I got myself healthy food vitamins and a variety  ,I got myself healthy food vitamins and a variety  
of physical treatment from friends who wanted to ,of physical treatment from friends who wanted to 
help out on the second day of my medical treatment  ,help out on the second day of my medical treatment  
I was half paralyzed in a wheelchair when I ,I was half paralyzed in a wheelchair when I 
crossed the stairway with 16 stairs and a rail  ,crossed the stairway with 16 stairs and a rail  
I remember quietly looking at them for a ,I remember quietly looking at them for a 
few moments and wondered if I can climb them  ,few moments and wondered if I can climb them  
and there I was sitting in the bottom of the ,and there I was sitting in the bottom of the 
stairway taking a deep breath imagining myself  ,stairway taking a deep breath imagining myself  
climbing up the stairs it seemed impossible ,climbing up the stairs it seemed impossible 
suddenly I heard music in the back of my mind,suddenly I heard music in the back of my mind
and I started climbing up the stairs with ,and I started climbing up the stairs with 
the agility of a sloth from the outside I  ,the agility of a sloth from the outside I  
looked like a paralyzed woman hardly pulling ,looked like a paralyzed woman hardly pulling 
herself on a stairway in my mind however I  ,herself on a stairway in my mind however I  
was Rocky Balboa during his victory much ,was Rocky Balboa during his victory much 
with every step I became happier and as  ,with every step I became happier and as  
I reached the top of the stairway a ,I reached the top of the stairway a 
few minutes later I felt Victorious,few minutes later I felt Victorious
thank you,BLANK
a minute later I was back in a wheelchair  ,a minute later I was back in a wheelchair  
exhausted and needed my mom to ,exhausted and needed my mom to 
push me back to the Department  ,push me back to the Department  
my life looked a lot like that in the past year ,my life looked a lot like that in the past year 
from being Victorious to disable and Back Again,from being Victorious to disable and Back Again
when I returned home beans were piling up ,when I returned home bills were piling up 
my income stopped I had a child to raise  ,my income stopped I had a child to raise  
and customers waiting for my return and yet ,and customers waiting for my return and yet 
my body was full with pain as a result of the  ,my body was full with pain as a result of the  
neurological Revival I had to do less and Achieve ,neurological Revival I had to do less and Achieve 
so much more life didn't wait for me for a second,so much more life didn't wait for me for a second
in many mornings I was standing in a crossbody ,in many mornings I was standing in a crossroad 
of choices between lying on the couch all day  ,of choices between lying on the couch all day  
long and proceeding with my life in order ,long and proceeding with my life in order 
to leave the couch I had to enroll my  ,to leave the couch I had to enroll my  
Consciousness told my day and choose despite the ,Consciousness toward my day and choose despite the 
circumstances to be a contributing useful person  ,circumstances to be a contributing useful person  
every morning I asked myself what is my purpose ,every morning I asked myself what is my purpose 
what are my intentions who do I want to be today,what are my intentions who do I wanna be today
the statistic shows that the average ,the statistic shows that the average 
time for a Guillain-Barre patient  ,time for a Guillain-Barre patient  
is 38 days in department and anywhere between ,is 38 days in department and anywhere between 
three weeks and three months in Rehabilitation  ,three weeks and three months in Rehabilitation  
I spent only 10 days in department and five days ,I spent only 10 days in department and five days 
in Rehabilitation and guess what else happened  ,in Rehabilitation and guess what else happened  
on Prairie morning I was home on vacation from ,on Purim morning I was home on vacation from 
the hospital and helped my girl with her custom  ,the hospital and helped my girl with her costume
I have learned that what happens on my ,I have learned that what happens on my 
inside has a huge effect on my outside  ,inside has a huge effect on my outside  
from the inside I was a winner athlete Dreamer ,from the inside I was a winner athlete Dreamer 
Consciousness coach and I remember that my  ,Consciousness coach and I remembered that my  
intention will determine whether I will be with ,intention will determine whether I will be with 
the most of the other girl by a patient at the  ,the most of the other Guillain-Barre patient at the  
average or will I be a DOT away from the graph ,average or will I be a DOT away from the graph 
from the outside even though I was active only  ,from the outside even though I was active only  
seven months of it 2014 was one of the best ,seven months of it 2014 was one of the best 
years of my life personally and professionally  ,years of my life personally and professionally  
we are all living in such a fast pace we are all ,we are all living in such a fast pace we are all 
connected in almost every moment to our emails  ,connected in almost every moment to our emails  
and our cell phones and we expect it to react ,and our cell phones and we expect it to react 
immediately and be available we all have our  ,immediately and be available we all have our  
circumstances to handle and so many times we're ,circumstances to handle and so many times we're 
taking actions in a hurry sometimes out of our  ,taking actions in a hurry sometimes out of our  
stress our fear our pain or our anger then we can ,stress our fear our pain or our anger then we can 
find ourselves doing a lot and getting very little  ,find ourselves doing a lot and getting very little  
or at the worst case we can find ourselves making ,or at the worst case we can find ourselves making 
damage in which we have to take care of later  ,damage in which we have to take care of later  
I'm still recovering for my disease ,I'm still recovering for my disease 
and feel it impact in my daily life  ,and feel its impact in my daily life  
it has taught me to stop and pay ,it has taught me to stop and pay 
attention before I take actions  ,attention before I take actions  
I have learned that it's not the amount of actions ,I have learned that it's not the amount of actions 
that will determine my result it's the quality of  ,that will determine my result it's the quality of  
action that matters when I'm setting my intention ,action that matters when I'm setting my intention 
then I'm present in the moment in my body I become  ,then I'm present in the moment in my body I become  
clear with my purpose and I can recognize whether ,clear with my purpose and I can recognize whether 
my action is valuable for me and for the people  ,my action is valuable for me and for the people  
around me or not and if it's not then take no ,around me or not and if it's not then take no 
action is sometimes better more than anything my  ,action is sometimes better more than anything my  
disease gave me a year of practice and a constant ,disease gave me a year of practice and a constant 
reminder that in every given moment I can stop  ,reminder that in every given moment I can stop  
and through my will my choice and my intention be ,and through my will my choice and my intention be 
on that side of the Pareto distribution in which  ,on that side of the Pareto distribution in which  
I do less and get so much more which side would ,I do less and get so much more which side would 
you like to be which side would you choose to be,you like to be which side would you choose to be
[Music],[Music]
good,BLANK
we can improve people's lives by improving their ,we can improve people's lives by improving their 
appearance that means that you can make a change  ,appearance that means that you can make a change  
from without think about it most ,from without think about it most 
celebrities are not born gorgeous  ,celebrities are not born gorgeous  
they just realize how much their appearance ,they just realize how much their appearance 
affect their success do you know who this is,affect their success do you know who this is
I can hear you sing,I can hear you sing
and now,and now
imagine became the sex goddess Marilyn Monroe ,Norma Jeane became the sex goddess Marilyn Monroe 
it is only depends on how she looks such changes  ,it is only depends on how she looks that changes  
everything when people look at you what do they ,everything when people look at you what do they 
see what do you want them to think about you  ,see what do you want them to think about you  
in the next few minutes I'm going to share ,in the next few minutes I'm going to share 
with you some tips on how you can improve your  ,with you some tips on how you can improve your  
first impression actually I Define myself as an ,first impression actually I Define myself as an 
impression expert more than an personal stylist  ,impression expert more than an personal stylist  
as a young girl with ADHD no ability to ,as a young girl with ADHD no ability to 
concentrate in class and hardly read or  ,concentrate in class and hardly read or  
write I've heard from the education system that ,write I've heard from the education system that 
my entire Eternal capabilities are insufficient  ,my entire Eternal capabilities are insufficient  
since I was insufficient within I ,since I was insufficient within I 
decided to improve myself from without  ,decided to improve myself from without  
I want to show you something that was me uh-huh  ,I wanna show you something that was me uh-huh  
I was just Keen not curved huge glasses shapeless ,I was just skin not curved huge glasses shapeless 
hair or in plain English I wasn't impressive  ,hair or in plain English I wasn't impressive  
so I wanted to change myself and that's what ,so I wanted to change myself and that's what 
I did at the next morning I came to school  ,I did at the next morning I came to school  
a completely different person everybody ,a completely different person everybody 
looked at me different even the teacher  ,looked at me different even the teacher  
looked at me differently all of a sudden hold the ,looked at me differently all of a sudden whole the 
learning environment wanted to help me succeed,learning environment wanted to help me succeed
so I realized that everything changed for me ,so I realized that everything changed for me 
for the better just because I looked better  ,for the better just because I looked better  
it was the first time I realized that ,it was the first time I realized that 
the change can start from the outside  ,a change can start from the outside  
success also works from the outside so ,success also works from the outside so 
basically I wanted to know everything I  ,basically I wanted to know everything I  
could about the ideal of beauty despite my ,could about the ideal of beauty despite my 
disabilities I found myself for more than  ,disabilities I found myself for more than  
12 years in various universities only to find ,12 years in various university only to find 
out that it's all about all about proportions  ,out that it's all about all about proportions  
it's all about a very special ,it's all about a very special 
proportion called the golden ratio,proportion called the golden ratio
it is a pattern that the human eyes likes ,it is a pattern that the human eyes likes 
to see the ratio is one to 1.618 it is a  ,to see the ratio is one to 1.618 it is a  
very special ratio for example if we will take ,very special ratio for example if we will take 
a rectangles with these proportions it can copy  ,a rectangles with these proportions it can copy  
itself indefinitely when every one of these ,itself indefinitely when every one of these 
