,AUTOMATIC,LOG PROB,IS_CORRECT
665,more and more damage and ultimately leading to,-71.04272032,TRUE
399,and feel it impact in my daily life,-71.06987047,FALSE
372,is 38 days in department and anywhere between,-71.1617732,TRUE
601,love about this software is this little eye,-71.1655345,TRUE
2,insignificant animals the most important,-71.22385168,TRUE
219,and the amazing thing is that as history,-71.31171656,TRUE
566,our preferences and to our proportions and the,-71.32772303,TRUE
587,I can upload his photo his facial photo,-71.33287811,TRUE
785,Roman legion used to call that sticky stew,-71.45489645,TRUE
818,start looking it for it here in Jerusalem,-71.59556007,TRUE
323,the difference between doing something with my,-71.59683704,TRUE
607,for me and for my preferences at,-71.74635935,TRUE
274,the body attacks the meal in the substance,-71.78199768,FALSE
250,of peas within pods ownership of capital and,-71.81709194,TRUE
749,two roles exactly the same but uh not,-72.02790022,FALSE
710,doing research at the University of Pennsylvania,-72.13084507,TRUE
732,a bakery just outside of our school now,-72.18542528,TRUE
62,a thousand chimpanzees cannot cooperate at all,-72.20951891,TRUE
1,seventy thousand years ago humans were,-72.27787399,TRUE
209,reality consists of objective entities like rivers,-72.29115391,TRUE
154,world many maybe most legal systems are based,-72.49867249,TRUE
779,this mixture becomes a sticky stew a sticky,-72.52694368,TRUE
342,and I started climbing up the stairs with,-72.56543112,TRUE
752,fragrant protein more authentic more closely,-72.72034216,TRUE
852,and and nourish themselves throughout the year,-73.10137033,TRUE
754,that are generated in genuine viral infection now,-73.12906742,TRUE
923,super excited all of us in the kitchen,-73.17254734,TRUE
223,the very survival of rivers and trees and,-73.28014421,TRUE
358,and customers waiting for my return and yet,-73.32551908,TRUE
141,why humans control the world whereas chimpanzees,-73.37996483,TRUE
496,I will add around me different clothes colors,-73.42385483,TRUE
722,along with her colleague Drew Weissman,-73.43372679,TRUE
167,you find rights is in the fictional stories,-73.4976263,TRUE
765,historical event a vaccine Revolution think about,-73.50622272,TRUE
755,just a few months ago nine hundred thousand,-73.50714016,TRUE
37,cannot change overnight its social system the,-73.51233196,TRUE
64,these 100 000 chimpanzees into Yankee Stadium or,-73.593503,TRUE
88,way to create this Global exchange of knowledge,-73.61080742,TRUE
387,years of my life personally and professionally,-73.91390038,TRUE
600,but the coolest thing that I really really,-73.9379015,TRUE
422,they just realize how much their appearance,-74.00853014,TRUE
835,I especially like the last part whereas I,-74.01123571,TRUE
170,field States and nations are also like human,-74.16914749,TRUE
480,golden proportions so here is this thought,-74.2692523,TRUE
221,and more powerful until today the most powerful,-74.38755131,TRUE
446,looked at me different even the teacher,-74.43742657,TRUE
783,back then the Roman Legends and that's something,-74.44431067,TRUE
112,can do and the answer is our imagination,-74.52440596,TRUE
775,gonna improve the situation he decides,-74.62050962,TRUE
724,and remarkably the RNA vaccine was found to,-74.69932604,TRUE
65,Wall Street you will get chaos complete chaos,-74.77154636,TRUE
240,in every given moment there was always something,-74.8023982,TRUE
678,that in the event maybe a month,-74.896451,TRUE
466,rectangles keeps exactly the same proportion,-74.91242647,TRUE
10,how did we turn ourselves from insignificant,-74.96109581,TRUE
651,viruses are basically just USB flash drives,-74.97096062,TRUE
451,it was the first time I realized that,-74.99075603,TRUE
197,not everybody believes in God not everybody,-74.99442005,TRUE
421,celebrities are not born gorgeous,-75.07172728,TRUE
727,but you may ask something's curious,-75.0805521,TRUE
230,I grew up in Jerusalem not far,-75.23998356,TRUE
192,it enables us to construct extremely sophisticated,-75.2422266,TRUE
266,I became paralyzed I had no physical abilities,-75.29422855,TRUE
211,we humans we also live in an objective reality,-75.29943562,TRUE
257,us is on one side of that Russia,-75.30982208,FALSE
944,years and then one job gets Applause,-75.39659643,FALSE
950,Down And Memories start pouring in I I remember,-75.42282796,TRUE
739,of hot piping freshly baked rolls now I would,-75.524786,TRUE
802,than 100 menus and after all that attention,-75.53645468,TRUE
69,networks of cooperation that are the real,-75.65925264,TRUE
922,ago just opened my restaurant my first one,-75.68274975,TRUE
308,I was being realistic and completely desperate,-75.75818586,TRUE
510,okay is it terrible enough wait wait and,-75.79856777,TRUE
457,12 years in various universities only to find,-75.80971336,FALSE
471,the golden ratio is embedded in most forms,-75.96640015,TRUE
3,thing you need to know about our prehistoric,-76.07864571,TRUE
642,let's go back to December 2019.,-76.13163948,TRUE
888,that even after the destruction of the Temple,-76.15409851,TRUE
667,until our immune system kicks in specialized white,-76.18851471,TRUE
841,the weed themselves they had to to search Grow,-76.23962927,TRUE
658,the computer on how and what to perform,-76.39552021,TRUE
187,the presidents and they tell a very convincing,-76.4309783,TRUE
68,Yankee Stadium you get amazingly sophisticated,-76.67179298,TRUE
816,own family in the city of Jerusalem if,-76.68817806,TRUE
885,um the the priest with the poor honey and oil,-76.69468927,FALSE
949,the noise of the kitchen and the pressure Goes,-76.71042013,TRUE
304,remember lying there at the hospital bed thinking,-76.79584455,TRUE
711,she had an idea she said you know,-76.89881134,TRUE
905,here to Israel all these amazing products like,-76.90216446,TRUE
533,much better early vertical line do you see,-76.90230227,FALSE
881,most amazing and cook the most amazing dishes,-76.94898939,TRUE
645,a mysterious dark ominous virus emerges and in the,-76.95440006,TRUE
61,will definitely win for the simple reason that,-77.07836199,TRUE
679,maybe a year later after we've actually,-77.10094976,TRUE
740,stand there looking nakedly and waiting until,-77.17434883,TRUE
865,them throughout the year because the smoke stops,-77.24844837,TRUE
364,long and proceeding with my life in order,-77.26039076,TRUE
12,of Africa into the rulers of planet Earth,-77.26131344,TRUE
843,did they do that and realizing that situation,-77.34694338,TRUE
962,were I am the two thousand years of wandering,-77.5364356,TRUE
332,of physical treatment from friends who wanted to,-77.66956568,TRUE
786,polenta that was the name in ancient Italian,-78.00627565,TRUE
815,lived all his life and now raising his,-78.05587053,TRUE
206,humans control the world and not any other animal,-78.23642683,TRUE
200,money and everybody believes in the dollar bill,-78.30795813,TRUE
581,let's see them both same lady different glasses,-78.34028959,TRUE
226,like the United States or like Google or like,-78.36444712,TRUE
426,imagine became the sex goddess Marilyn Monroe,-78.3952198,FALSE
128,everybody believes in the same fictional stories,-78.49120283,TRUE
29,humans is in their unique ability to cooperate,-78.52538729,TRUE
222,forces in the world are these fictional entities,-78.52730608,TRUE
43,more flexible in the way that they cooperate,-78.53988218,TRUE
450,for the better just because I looked better,-78.540658,TRUE
579,right position I can also help you no Choose,-78.54108095,TRUE
979,everything has already been cooked but only when,-78.54578161,TRUE
147,a mosque of God Crusade together because they all,-78.56773233,FALSE
820,was thinking maybe I should look in in,-78.63591051,TRUE
92,giving a talk about bananas or about humans,-78.65626144,TRUE
278,movement and function of the inner organs at,-78.66227055,TRUE
465,itself indefinitely when every one of these,-78.66737986,TRUE
687,pre-train the immune system storm memory preempt,-78.76613951,FALSE
813,pilot lights and I pretty soon realized,-78.81679916,TRUE
373,three weeks and three months in Rehabilitation,-78.8714509,TRUE
892,um they would bake this special this special cake,-78.88238621,TRUE
569,code with mathematical rules instead of emotionals,-78.90300035,TRUE
349,few minutes later I felt Victorious,-78.92202759,TRUE
41,there are other social animals like wolves like,-79.03567266,TRUE
336,I remember quietly looking at them for a,-79.10363913,TRUE
313,has the average which is the majority of people,-79.15241337,TRUE
389,connected in almost every moment to our emails,-79.15651798,TRUE
409,action is sometimes better more than anything my,-79.16811228,TRUE
216,consisting of stories of fictional entities,-79.18703556,TRUE
455,could about the ideal of beauty despite my,-79.20718908,TRUE
978,everything has already been said more than that,-79.22570181,TRUE
54,abilities together cooperate very flexibly much,-79.32529163,TRUE
181,Foundation of our economic system what is money,-79.42312098,TRUE
486,this is very funny how people perceive shapes,-79.44910192,TRUE
210,and mountains and trees and lions and elephants,-79.45812178,TRUE
16,something special about me that there is something,-79.60934019,TRUE
538,me basically my arms like monkey I can almost,-79.61291027,TRUE
100,about Sesame Streets and teaching children to,-79.71914625,TRUE
195,and money is really the most successful story of,-79.72586346,TRUE
199,in the United States but everybody believes in,-79.8219986,TRUE
773,and they are hungry they've been fighting,-79.91788006,TRUE
811,pretty soon my journey shifted here to Israel,-79.93955851,TRUE
67,cram them together into Wall Street or into,-79.94289923,TRUE
721,however here perseverance prevailed she,-79.99725437,TRUE
288,became stiffer and experienced extreme exhaustion,-80.04803991,TRUE
331,I got myself healthy food vitamins and a variety,-80.1597271,TRUE
202,hated American religion he hated American culture,-80.17824745,TRUE
696,store memory in fact when you think about it,-80.28120232,TRUE
235,life and he taught me the same thing,-80.29438877,TRUE
874,the Milling Stone there was something left,-80.32003641,TRUE
669,the viruses they study them and in response,-80.39386415,TRUE
714,recipe to produce the viral protein in our body,-80.39472914,TRUE
14,we look for the answer on the individual level,-80.40877581,TRUE
224,lions and chimpanzees today depends on the,-80.5072155,TRUE
745,intoxicating fragrance of hot fresh baked bread,-80.51534367,TRUE
193,networks of economic cooperation which as I said,-80.57738829,TRUE
799,influence everything in all of my restaurants,-80.65632248,TRUE
708,cheaper however without compromise 30 years ago,-80.7336669,TRUE
750,the same at all so when we inject RNA,-80.76297569,TRUE
38,way that they cooperate saying execute the queen,-80.79763889,FALSE
302,get dressed on Prairie morning I was told not,-80.79926968,FALSE
520,thank you wait another example look at the shape,-80.83047438,TRUE
267,to invest only my mind my will my intention,-80.94472408,TRUE
218,States like money like human rights like gods,-80.98265791,TRUE
930,people they have to leave the restaurant because,-81.02778816,TRUE
915,start something new without being zealous,-81.11397076,TRUE
664,new cells producing more and more viruses causing,-81.13346243,TRUE
747,and I would eat it happily and sometimes it,-81.16706896,TRUE
926,have a place to sit sorry guys and um,-81.16954088,TRUE
244,it was completed I believed like many others that,-81.17480946,TRUE
473,and face with a gun made it or man,-81.28324461,FALSE
633,a piece of fruit Falls and Bonks Izzy smack,-81.2886138,TRUE
614,and patterns that our brain likes to see,-81.29874468,TRUE
759,out of the woods yet Delta is indeed challenging,-81.31514645,TRUE
252,that about 80 percent of the effect comes,-81.32810163,TRUE
311,I thought it's just a statistic a distribution,-81.33166218,TRUE
807,my journey my journey began around not around 20,-81.37930965,TRUE
208,animals they live in an objective reality the,-81.4118104,FALSE
871,or bake the bread or back then the Harvest or,-81.45713663,FALSE
376,on Prairie morning I was home on vacation from,-81.51502228,FALSE
485,and the way people perceive colors and shape and,-81.64249229,TRUE
142,are locked up in zoos and Research Laboratories,-81.65393543,TRUE
239,want to be successful I should do something,-81.68280268,FALSE
217,that exist only in our imagination entities like,-81.69155121,TRUE
314,but also has the extreme the dots outside the,-81.75059938,TRUE
238,I was living under the assumption that if I,-81.76392651,TRUE
91,front of an audience of 200 other ships and,-81.87158632,FALSE
805,of my journey and my journey for me personally,-81.89506865,TRUE
212,in our reality too there are rivers and trees,-81.98057699,TRUE
249,answer is no if you look at the distribution,-81.99596882,TRUE
479,how can we bring ourselves closer to these,-82.1918931,TRUE
532,vertical lines can you see that again horizontal,-82.24220228,TRUE
916,to the ancient and the wise you do not have,-82.25086927,TRUE
42,dolphins like chimpanzees that they are much,-82.28768635,TRUE
203,but it hit nothing against American dollars it,-82.32695389,FALSE
227,the World Bank entities that in fact exist only,-82.3792057,TRUE
526,with my hair cut here this is first thing,-82.46698666,FALSE
484,software that will be based on the golden ratio,-82.4690237,TRUE
449,so I realized that everything changed for me,-82.48230267,TRUE
498,I call the game of dressing up an illusion,-82.50258923,TRUE
198,believes in human rights not everybody believes,-82.53105783,TRUE
265,which took most of my time and energy,-82.55953503,TRUE
125,if you believe this fictional story then you will,-82.67078733,TRUE
379,inside has a huge effect on my outside,-82.6859169,TRUE
574,bit up I can do that in Photoshop and then,-82.71402502,TRUE
900,the journey of the grain of the will my journey,-82.83741188,FALSE
458,out that it's all about all about proportions,-82.92113066,TRUE
344,looked like a paralyzed woman hardly pulling,-82.92489767,TRUE
643,lurking among the Stalls of,-82.95797968,TRUE
776,to cook something for them so he mixes,-82.99080372,TRUE
918,a three of fruits without the soil and the seed,-83.02647495,FALSE
461,it is a pattern that the human eyes likes,-83.04373741,TRUE
348,I reached the top of the stairway a,-83.09438944,TRUE
339,stairway taking a deep breath imagining myself,-83.13876247,TRUE
509,how God really created me I just started late,-83.18296623,TRUE
870,flower back to the families to cook their bread,-83.23811817,FALSE
382,intention will determine whether I will be with,-83.3395195,TRUE
893,in in special events or for special people that's,-83.35775948,TRUE
814,that as a person that was born raised and,-83.39526081,TRUE
615,if we listen to our brain's preferences it,-83.44431162,TRUE
101,cooperate together but all the terrible things,-83.45502996,TRUE
494,but adding different forms or colors around them,-83.49563265,TRUE
24,on myself and this is not something wrong with,-83.50526667,TRUE
702,purified Spike protein now for each disease years,-83.53772116,TRUE
848,so I found that our ancestors were pretty smart,-83.54293966,TRUE
810,foreign countries in libraries in study halls but,-83.57326603,TRUE
434,as a young girl with ADHD no ability to,-83.6420269,TRUE
263,year ago I got the opportunity to practice,-83.64329147,TRUE
66,but if you take a hundred thousand humans and,-83.67497396,TRUE
161,not a biological reality just as jellyfish and,-83.68023348,TRUE
819,so where to look I was uh I think I,-83.6882062,TRUE
356,when I returned home beans were piling up,-83.79487181,FALSE
400,it has taught me to stop and pay,-83.8402276,TRUE
377,the hospital and helped my girl with her custom,-83.87501764,FALSE
612,as we saw we act emotionally to our appearance,-83.91811466,TRUE
17,special about my body about my brain that makes,-83.95834923,TRUE
456,disabilities I found myself for more than,-84.03685331,TRUE
894,the way from the roof the journey for the grain,-84.0653429,FALSE
32,animals like the social insects the bees and,-84.09746695,TRUE
753,resembling the presentation of the viral proteins,-84.16691685,TRUE
93,or something only humans do such things it should,-84.19294405,TRUE
817,I want to find my culinary Legacy I should,-84.20512056,TRUE
351,a minute later I was back in a wheelchair,-84.24157858,TRUE
328,wait a second before I took responsibility in,-84.25954247,TRUE
436,write I've heard from the education system that,-84.30443192,TRUE
631,and in a moment of hysterical laughter Izzy as,-84.35106421,TRUE
492,perception example look at these two dots in,-84.41108751,FALSE
770,a group of Roman soldiers are standing next to,-84.42159605,TRUE
565,us choose Clauses and accessories according to,-84.47383881,FALSE
164,him open look inside you find their blood and,-84.67820644,TRUE
483,more accessible I decided decided to create a,-84.73239708,TRUE
298,commandment to be happy on touring holiday so,-84.77470016,FALSE
694,to methodically interrogate and understand,-84.87075615,TRUE
150,that exactly the same thing happens in all other,-84.88083267,TRUE
385,from the outside even though I was active only,-84.91180038,TRUE
553,about myself and my appearance most people it will,-84.91523838,TRUE
585,choose body style not today or any other,-84.95669365,TRUE
793,that's the one in the middle up there um,-84.96805286,TRUE
716,this was a totally out of the box idea,-85.00085545,TRUE
347,with every step I became happier and as,-85.00944471,TRUE
791,of Jerusalem and the recent one we've opened,-85.02392673,TRUE
99,often when we think about cooperation we think,-85.04232025,TRUE
903,um and and realizing that this is my journey along,-85.05050421,TRUE
432,first impression actually I Define myself as an,-85.31364632,TRUE
594,and while the software is rendering he knows his,-85.40176821,TRUE
155,on this idea of this belief in human rights but,-85.40811253,FALSE
476,image the closer our image is to the golden ratio,-85.41928196,TRUE
640,all experienced a game-changing historical moment,-85.55598545,TRUE
467,we can find it as well everywhere like in,-85.60298538,TRUE
251,incomes in businesses you will always see,-85.62759686,TRUE
794,in each and every restaurant I open and I,-85.67545128,TRUE
853,they use the wheat very smartly I learned,-85.68864536,TRUE
468,smallest things like our DNA when the length,-85.70577908,TRUE
146,together to build a cathedral or a synagogue or,-85.81106234,TRUE
57,One Versus One we may not be superior to,-85.86285734,TRUE
653,now viruses are not living organisms just as flash,-85.89138746,TRUE
363,of choices between lying on the couch all day,-85.91135836,TRUE
717,in fact so Innovative and so challenging Katie,-85.9840889,TRUE
860,they used to pick the stocks and and the whole,-85.98913717,TRUE
9,how exactly did we reach from there to here,-86.00219536,TRUE
598,only three not two thousand like we have and we,-86.0534277,TRUE
803,and after being in my in my doing that career,-86.10270691,TRUE
551,easily in small changes that will look natural,-86.24832535,TRUE
412,and through my will my choice and my intention be,-86.27122831,TRUE
561,create a software so my services will be the,-86.31061268,FALSE
156,human rights are just like heaven and like God,-86.33285189,TRUE
867,it later on the year after taking out the grains,-86.37003136,TRUE
352,exhausted and needed my mom to,-86.38697624,TRUE
636,of gravity now how cool is that to actually be,-86.51644754,TRUE
676,and some of these upgraded special force B cells,-86.52958536,TRUE
13,now usually when we try to answer this question,-86.55501461,TRUE
617,this is amazing there are more than seven billion,-86.59502554,TRUE
110,is how exactly humans do it what give us this,-86.60729694,TRUE
245,success is necessarily involved with a lot of work,-86.61054659,TRUE
673,now with each round of interaction a virus with,-86.620996,FALSE
96,prisons they don't have concentration camps,-86.65673685,TRUE
511,now imagine me coming to you right now and,-86.66342878,TRUE
191,as everybody believes it it works it really works,-86.70043039,TRUE
139,do anything for you in exchange for such promises,-86.70651627,TRUE
213,and lions and elephants but on top of this,-86.7274003,TRUE
33,the ants that can cooperate also in quite large,-86.73902798,FALSE
887,and yeah it was so precious and so well loved,-86.76756859,TRUE
941,served it in in the in the jar that that,-86.78279591,TRUE
176,want to believe very much but still they are,-86.85831976,TRUE
262,do less and achieve more in them about a,-86.89081764,FALSE
324,intention or doing it without my intention was,-86.93363237,TRUE
550,on and on I can improve your waist shape very,-87.00354481,TRUE
11,Apes minding their own business in a corner,-87.04729748,TRUE
895,of the with being picked in the field becoming a,-87.05293179,FALSE
207,because humans live in a dual reality all other,-87.06193066,TRUE
846,as in Europe water is not that common Roots fruits,-87.15601063,TRUE
475,without even noticing people will engage with our,-87.28386211,TRUE
391,immediately and be available we all have our,-87.33138657,TRUE
283,to you while you're busy making other plans,-87.33404827,TRUE
330,began I combined between keep resting and moving,-87.33517027,TRUE
474,made it it is there it is what it is,-87.33812046,TRUE
171,rights and like God and like heaven they too of,-87.40227413,TRUE
7,today on the other hand we control this planet,-87.48338079,TRUE
596,the right glasses for him and giving him results,-87.57004595,TRUE
842,hunt their own food and I started searching how,-87.70984888,TRUE
904,the 2000 years of wondering of people bringing,-87.75508785,TRUE
780,stew gets inside their stomachs and suddenly,-87.76028681,TRUE
514,to do shopping or work with me anyway no one,-87.8230052,FALSE
237,responsible people work hard and work a lot,-87.84592628,TRUE
196,all because it's the only story everybody believes,-87.86269379,TRUE
771,the fire in the Roman legion Camp next to the,-87.8654418,TRUE
130,and the same norms and this is something that only,-87.90276432,TRUE
177,just stories you can't really see the United,-87.90855026,TRUE
365,to leave the couch I had to enroll my,-87.91296291,TRUE
86,or New York yet all of us strangers cooperate,-87.92696524,TRUE
463,very special ratio for example if we will take,-87.94064999,TRUE
204,was quite fond of American dollars this is the,-87.97764063,TRUE
236,that most of us are being taught that good,-87.98950195,TRUE
355,from being Victorious to disable and Back Again,-88.00936079,TRUE
489,the true existence of form in our universe while,-88.01214075,TRUE
281,was excited in the preparation for the big day,-88.03215742,TRUE
5,their impact on the world was not greater than,-88.14270306,TRUE
338,and there I was sitting in the bottom of the,-88.20141935,TRUE
689,well this is exactly what vaccines are all about,-88.34402657,TRUE
63,and if you now take 100 000 chimpanzees and cream,-88.34449387,FALSE
591,start now we have another option if you want,-88.37400293,FALSE
707,could it be another way safer quicker possibly,-88.42714214,TRUE
107,this ability to cooperate flexibly in large,-88.50706768,TRUE
674,its B cell the B cells upgrade they improve they,-88.51955986,TRUE
46,shimpanzees depends on intimate and personal,-88.58469534,TRUE
326,I knew that every day without movement will add,-88.63320112,TRUE
368,every morning I asked myself what is my purpose,-88.6467948,TRUE
586,style I'm going to choose head style and,-88.66795492,FALSE
597,but only three results if he asks classic basic,-88.67161131,TRUE
105,now suppose I've managed to convince you,-88.69199181,TRUE
435,concentrate in class and hardly read or,-88.69362164,TRUE
499,and right here lies the solution we can use,-88.75662231,TRUE
77,them once or twice for rehearsal and so forth,-88.75851965,TRUE
876,could not be grinded because of Technology reasons,-88.91965008,TRUE
423,affect their success do you know who this is,-88.9590807,TRUE
595,facial feature and looking surfing for the web for,-89.05848789,TRUE
477,since not all of us were born with the,-89.08451939,TRUE
556,really created you most of my clients are even,-89.11624813,TRUE
659,viruses are basically the same they too have,-89.20093155,TRUE
748,struck me rather curious how is this possible,-89.30089903,TRUE
602,this information button that right now I can go,-89.32901239,TRUE
849,they had with wheat was the most common thing they,-89.38608837,FALSE
861,the whole plan and then make big piles in the,-89.38821697,FALSE
340,climbing up the stairs it seemed impossible,-89.39148855,TRUE
909,amazing products they brought here and what the,-89.41227579,TRUE
884,precious that it became a sacrifice in the temple,-89.52753735,TRUE
886,over the of the semolina and then praise it,-89.6004405,FALSE
924,the restaurant is packed we didn't expect,-89.62724161,TRUE
632,you fondly called him bumps into an apple tree,-89.62930727,TRUE
334,I was half paralyzed in a wheelchair when I,-89.63526392,TRUE
875,the grain of the weed the the center of the wind,-89.63527822,FALSE
165,you find the heart and lungs and kidneys but,-89.63865042,TRUE
603,in and and see why did The Wizard choose these,-89.67876959,TRUE
668,blood cells B cells encounter and are intercepting,-89.71845341,TRUE
113,humans cooperate flexibly in large numbers because,-89.78942347,TRUE
254,effect comes out of 80 percent of the causes,-89.80864191,TRUE
914,science like in art like in literature you cannot,-89.92161465,TRUE
809,looking for for the Legacy and my journey began at,-89.93643665,TRUE
261,Principle I've been looking for ways to,-90.01561928,TRUE
618,people on Earth yet no one has the same body,-90.13077164,TRUE
428,everything when people look at you what do they,-90.18435717,TRUE
698,kids are all what I would call Hardware vaccines,-90.27028179,TRUE
862,field and light fires around it so the smoke from,-90.315063,TRUE
736,it always fascinated me the baker in his white,-90.38264751,TRUE
315,graph and I realized that even if the chances,-90.38910294,TRUE
119,humans can use their language not only to describe,-90.40774727,TRUE
8,and what I would like to talk about today is,-90.43670988,TRUE
169,and the same thing is also true in the political,-90.52851057,TRUE
925,so many people even my parents didn't,-90.54721975,TRUE
47,knowledge acquaintance one of the other if I'm,-90.54990149,TRUE
605,does these colors help for me to look healthier,-90.59930229,TRUE
151,fields of human cooperation in the legal field in,-90.59941435,TRUE
559,only met no emotion an algorithm can do it too,-90.61084414,FALSE
502,what's the benefits besides you looking your best,-90.63923264,TRUE
135,there you will receive lots and lots of bananas,-90.66649532,TRUE
357,my income stopped I had a child to raise,-90.70332861,TRUE
787,so for the last few years my colleagues and I,-90.71644449,TRUE
873,but the Millers found an amazing thing in,-90.72724438,FALSE
